gloss_number;gloss_name;instance_id;video_id;split;bbox;signer_id;variation_id;fps;frame_start;frame_end;source;url
0;book;0;69241;train;[385, 37, 885, 720];118;0;25;1;-1;aslbrick;http://aslbricks.org/New/ASL-Videos/book.mp4
0;book;1;65225;train;[190, 25, 489, 370];90;0;25;1;-1;aslsignbank;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4
0;book;2;68011;train;[262, 1, 652, 480];110;0;25;1;-1;valencia-asl;https://www.youtube.com/watch?v=0UsjUE-TXns
0;book;3;68208;train;[123, 19, 516, 358];113;0;25;1;60;lillybauer;https://www.youtube.com/watch?v=1QOYOZ3g-aY
0;book;4;68012;train;[95, 0, 1180, 720];109;0;25;1;-1;valencia-asl;https://www.youtube.com/watch?v=aGtIHKEdCds
0;book;5;70212;val;[110, 25, 274, 240];121;0;25;2150;2249;northtexas;https://www.youtube.com/watch?v=hjS0dQDgbjo
0;book;6;70266;train;[153, 38, 395, 360];121;0;25;3732;3852;northtexas;https://www.youtube.com/watch?v=WGfiiDgrq1I
0;book;7;7085;train;[16, 2, 235, 240];49;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_english_grammar.swf
0;book;8;7086;train;[16, 4, 239, 240];49;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_geography.swf
0;book;9;7087;train;[8, 1, 253, 240];18;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_geometry.swf
0;book;10;7069;train;[462, 44, 949, 720];31;0;25;1;-1;signschool;https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
0;book;11;7088;train;[29, 4, 227, 240];18;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_history.swf
0;book;12;7089;train;[22, 0, 226, 240];18;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_law.swf
0;book;13;7090;train;[34, 2, 229, 240];18;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_literature.swf
0;book;14;7091;train;[23, 1, 226, 240];18;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_math.swf
0;book;15;7092;test;[31, 4, 220, 240];49;0;25;1;-1;aslpro;http://www.aslpro.com/main/b/book_medicine.swf
